teamId,passes_total,passes_accurate,long_balls,final_third_entries,box_entries,wide_actions,defensive_duels,high_press_actions,set_pieces,shots_total,goals,matches_played,avg_pass_distance_m,avg_forward_progress,league_code,pass_accuracy_pct,long_ball_pct,wide_action_pct,high_press_pct,passes_total_per_match,passes_accurate_per_match,long_balls_per_match,final_third_entries_per_match,box_entries_per_match,wide_actions_per_match,defensive_duels_per_match,high_press_actions_per_match,set_pieces_per_match,shots_total_per_match,goals_per_match
674,15723,13193,2605,2167,1010,10369,2517,769,1648,418,54,38,19.24338637794144,2.9776280016204795,Spain,83.90892323347961,16.568084971061502,65.94797430515806,30.552244735796585,413.7631578947368,347.1842105263158,68.55263157894737,57.026315789473685,26.57894736842105,272.86842105263156,66.23684210526316,20.236842105263158,43.36842105263158,11.0,1.4210526315789473
675,22053,19439,3226,2689,1637,15651,2248,805,1628,629,81,38,18.98424149299288,1.9742401955094977,Spain,88.14673740534168,14.628395229673968,70.96993606312067,35.80960854092527,580.3421052631579,511.55263157894734,84.89473684210526,70.76315789473684,43.078947368421055,411.86842105263156,59.1578947368421,21.18421052631579,42.8421052631579,16.55263157894737,2.1315789473684212
676,23260,20589,2910,2757,1550,15732,2106,757,1664,502,87,38,18.08752312753911,2.195524397836307,Spain,88.51676698194325,12.510748065348237,67.63542562338779,35.94491927825261,612.1052631578947,541.8157894736842,76.57894736842105,72.55263157894737,40.78947368421053,414.0,55.421052631578945,19.92105263157895,43.78947368421053,13.210526315789474,2.289473684210526
677,14539,11663,2764,2065,1032,10543,2549,755,1740,405,35,38,19.591694050177342,3.299091879956735,Spain,80.2187220579132,19.01093610289566,72.51530366600178,29.619458611220082,382.60526315789474,306.92105263157896,72.73684210526316,54.3421052631579,27.157894736842106,277.44736842105266,67.07894736842105,19.86842105263158,45.78947368421053,10.657894736842104,0.9210526315789473
678,15022,12077,3034,2367,1073,10362,2607,860,1748,377,32,38,20.01014318327022,3.1908921239754906,Spain,80.39542005059246,20.19704433497537,68.97883104779656,32.98810893747602,395.3157894736842,317.8157894736842,79.84210526315789,62.28947368421053,28.236842105263158,272.6842105263158,68.60526315789474,22.63157894736842,46.0,9.921052631578947,0.8421052631578947
679,16336,13600,2480,2204,923,11316,2678,768,1674,354,51,38,18.456387545121665,3.1154755646950227,Spain,83.2517140058766,15.181194906953966,69.27032321253674,28.678117998506348,429.89473684210526,357.89473684210526,65.26315789473684,58.0,24.289473684210527,297.7894736842105,70.47368421052632,20.210526315789473,44.05263157894737,9.31578947368421,1.3421052631578947
680,18026,15182,2764,2513,1199,12681,2680,742,1767,469,44,38,18.753046796622012,2.796595823230961,Spain,84.22278930433818,15.333407300565849,70.34838566515033,27.686567164179106,474.36842105263156,399.5263157894737,72.73684210526316,66.13157894736842,31.55263157894737,333.7105263157895,70.52631578947368,19.526315789473685,46.5,12.342105263157896,1.1578947368421053
682,16534,13904,2717,2132,984,11221,2667,878,1650,435,52,38,19.128155476026993,2.663130896857092,Spain,84.09338333131728,16.43280512882545,67.8662150719729,32.92088488938882,435.10526315789474,365.89473684210526,71.5,56.10526315789474,25.894736842105264,295.2894736842105,70.1842105263158,23.105263157894736,43.421052631578945,11.447368421052632,1.368421052631579
683,13340,10670,2740,2048,817,9605,2688,855,1823,344,19,38,19.516029876453302,3.5994620533469512,Spain,79.98500749625187,20.539730134932537,72.0014992503748,31.808035714285715,351.05263157894734,280.7894736842105,72.10526315789474,53.89473684210526,21.5,252.76315789473685,70.73684210526316,22.5,47.973684210526315,9.052631578947368,0.5
684,19342,16767,2906,2193,817,13055,2241,640,1595,359,53,38,19.173640375719366,2.5053679141859413,Spain,86.68700237824424,15.024299451969805,67.49560541826078,28.5586791610888,509.0,441.2368421052632,76.47368421052632,57.71052631578947,21.5,343.55263157894734,58.973684210526315,16.842105263157894,41.973684210526315,9.447368421052632,1.394736842105263
